State,Year,Wind_MU,Solar_MU,Biomass_MU,Bagasse_MU,Small_Hydro_MU,Others_MU,Total_RE_MU,Large_Hydro_MU,Region,Solar_Share_Pct,YoY_Solar_Growth_Pct,Emission_Avoided_MT,Solar_Wind_Ratio,Irradiance_GHI,Panel_Efficiency,Cost_Solar_INR,Cost_Coal_INR,Cost_Saving_INR,Anomaly_Flag
Andhra Pradesh,2025,385.71,851.2,2.2,2.77,24.72,30.23,2829.3,235.64,South,30.09,7.46,2.32,2.207,5.4,0.2,2.38,4.05,1.67,0
Andhra Pradesh,2026,323.73,1129.1499999999999,1.35,4.68,49.34,77.35,3714.199999999999,543.0,South,30.4,32.65,3.0456,3.488,5.4,0.205,2.3,4.2,1.9,0
Arunachal Pradesh,2022,0.0,0.0,0.05,0.0,0.199,0.0,0.498,,Northeast,0.0,,0.0004,,,0.185,2.65,3.6,0.95,0
Arunachal Pradesh,2023,0.0,0.0,0.048,0.0,0.239,0.0,0.574,,Northeast,0.0,,0.0005,,,0.19,2.55,3.75,1.2,0
Arunachal Pradesh,2024,0.0,0.077,0.0,0.0,0.049,0.0,227.002,226.75,Northeast,0.03,,0.1861,,,0.195,2.45,3.9,1.45,0
Arunachal Pradesh,2025,0.0,0.169,0.0,0.0,0.043,0.0,184.43399999999997,184.01,Northeast,0.09,119.48,0.1512,,,0.2,2.38,4.05,1.67,0
Arunachal Pradesh,2026,0.0,0.076,0.0,0.0,0.006,0.0,430.554,430.39,Northeast,0.02,-55.03,0.3531,,,0.205,2.3,4.2,1.9,0
Assam,2022,0.0,0.0,2.6919999999999997,0.0,7.337059,0.0,20.058118,,Northeast,0.0,,0.0164,,4.2,0.185,2.65,3.6,0.95,0
Assam,2023,0.0,0.0,2.44,0.0,13.98,0.0,32.84,,Northeast,0.0,,0.0269,,4.2,0.19,2.55,3.75,1.2,0
Assam,2024,0.0,27.657,0.0,0.0,2.7199999999999998,0.11,97.27399999999999,36.3,Northeast,28.43,,0.0798,,4.2,0.195,2.45,3.9,1.45,0
Assam,2025,0.0,27.990000000000002,0.0,0.0,7.003,0.01,124.12599999999999,54.12,Northeast,22.55,1.2,0.1018,,4.2,0.2,2.38,4.05,1.67,0
Assam,2026,0.0,32.312,0.0,0.0,2.912639,0.113126,138.94553,68.27,Northeast,23.26,15.44,0.1139,,4.2,0.205,2.3,4.2,1.9,0
